Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;1091
Akismet Spam Protection;https://ru.wordpress.org/plugins/akismet/;953
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;1826
Classic Widgets;https://ru.wordpress.org/plugins/classic-widgets/;224
